編號,品名,商品連結,價格
1,專利大畚斗組 (附掃把),https://24h.pchome.com.tw/prod/DAAC0C-A74385610,249
2,EVA無痕彈力掃把-伸縮款,https://24h.pchome.com.tw/prod/DAAC0X-A900GKBLV,189
3,45cm不鏽鋼魔術刮水掃把/玻璃刮刀板 可替換軟膠,https://24h.pchome.com.tw/prod/DAACE9-A900H3GUC,399
4,原價$899活動限時降  日式衛生間 浴室刮水板 掃把 魔術黑科技 家用 刮水器 灰塵 髒污 乾淨,https://24h.pchome.com.tw/prod/DECB23-A900H4ECF,199
5,[Hutte vie] 可摺疊站立收納 懶人掃把組可站立式掃把 直立掃把 掃把組 掃把畚箕組 防風 折疊 刮毛畚箕 畚箕,https://24h.pchome.com.tw/prod/DAACBG-A900DVZPK,369
6,百利 EVA輕巧無痕掃把-伸縮款,https://24h.pchome.com.tw/prod/DAAN0K-A9009TT6C,199
7,《清潔大師》掃把畚斗組,https://24h.pchome.com.tw/prod/DAAC0C-A24908230,199
8,加長型掃把畚箕組,https://24h.pchome.com.tw/prod/DAACAK-A900FQNGR,299
9,買1送1不卡塵髮可站立掃把畚斗組,https://24h.pchome.com.tw/prod/DAAC7V-A900HI164,330
10,易潔淨掃組合式掃把畚斗組(自帶齒梳不沾手),https://24h.pchome.com.tw/prod/DAACBV-A900AUHZM,329
11,輕巧畚斗組 (附掃把),https://24h.pchome.com.tw/prod/DAAC0C-A74387779,179
12,超輕量4合1伸縮魔術掃把,https://24h.pchome.com.tw/prod/DAACBG-A900BCBYZ,269
13,原價$899活動限時降  日式衛生間 浴室刮水板 掃把 魔術黑科技 家用 刮水器 灰塵 髒污 乾淨,https://24h.pchome.com.tw/prod/DAACBG-A900BV2SA,299
14,摺疊梳齒掃把畚箕組,https://24h.pchome.com.tw/prod/DAACAK-A900BG2QL,399
15,一刮淨不卡塵髮魔術掃把組(買一送一),https://24h.pchome.com.tw/prod/DAACBG-A900FSFPU,369
16,站立式掃把組 掃把+畚斗【兩件組】,https://24h.pchome.com.tw/prod/DAACBG-A900HJTD3,282
17,原價$599活動限時降奈【AMI HOME】日本魔術不沾毛髮可刮水掃把(刮水刀 掃地 地板刮刀 玻璃刮刀 擦玻璃 清潔 水漬),https://24h.pchome.com.tw/prod/DAACBG-A900FYY0G,299
18,站立式可折疊掃把畚斗組,https://24h.pchome.com.tw/prod/DAACBG-A900H1OCJ,299
19,【兩件組】折疊 掃把+畚斗,https://24h.pchome.com.tw/prod/DAACBG-A900HJTCP,282
20,站立式可折疊掃把畚箕組,https://24h.pchome.com.tw/prod/DAACBG-A900H1O9F,299
21,(1組)磁吸式旋轉站立順髮掃把組 不黏頭髮掃把 磁吸掃把 不沾手懶人掃把,https://24h.pchome.com.tw/prod/DAACBG-A900F1JW8,348
22,全新升級掃把組防風折疊刮毛輕量全新升級 免沾手防風懶人掃把畚箕組 懶人掃把 掃把 畚箕 掃把組 摺疊掃把 免沾手掃把 刮齒設計,https://24h.pchome.com.tw/prod/DAACB8-A9009ZFKS,369
23,站立式可折疊掃把畚箕組,https://24h.pchome.com.tw/prod/DAACBG-A900H1OER,329
24,馬棕毛掃把,https://24h.pchome.com.tw/prod/DAAC0C-A24248439,199
25,豬鬃毛掃把,https://24h.pchome.com.tw/prod/DAAC0C-A24242259,399
26,小龍尼掃/掃把(2支入),https://24h.pchome.com.tw/prod/DAACBG-A900GBSC3,279
27,不卡灰塵頭髮 可站立掃把畚斗組,https://24h.pchome.com.tw/prod/DAACBG-A900HBRI4,274
28,[享居家] 畚箕掃把套裝 可旋轉 家用掃把 家務清潔 掃把用具,https://24h.pchome.com.tw/prod/DAACB8-A9009ZFLC,319
29,塵必淨鬃毛掃把畚箕組,https://24h.pchome.com.tw/prod/DAACAK-A900BGUUF,399
30,大畚斗組-附掃把-1組,https://24h.pchome.com.tw/prod/DAAC0C-A58931747,239
31,黑棕掃/掃把(2支入),https://24h.pchome.com.tw/prod/DAACBG-A900GBS9M,349
32,椰子掃/掃把(2入),https://24h.pchome.com.tw/prod/DAACBG-A900GBS6V,279
33,可折疊不卡塵髮掃把組合,https://24h.pchome.com.tw/prod/DAACBG-A900EPHF0,299
34,一刮新淨界可折疊站立掃把,https://24h.pchome.com.tw/prod/DAACBG-A900FZ776,349
35,不卡塵髮可站立掃把畚斗組,https://24h.pchome.com.tw/prod/DAACED-A900GLGCA,299
36,超值2入組*耐用輕巧掃把,https://24h.pchome.com.tw/prod/QFAX15-A900AFCI4,399
37,一刮淨不卡塵髮魔術掃把組 掃把畚斗刮水器三件套 魔術掃把三件組 簸箕套裝 清潔工具 掃地套裝,https://24h.pchome.com.tw/prod/DAACBG-A900FR2IX,299
38,原價$799活動限時降韓國黑科技魔術 掃把 浴室 頭髮 地板刷 玻璃清潔器 伸縮 乾濕兩用 除塵 刮水【灰色款】,https://24h.pchome.com.tw/prod/DAACBG-A900FDOB0,374
39,多功能魔術掃把 刮水板/除塵 乾濕兩用,https://24h.pchome.com.tw/prod/DAACBG-A900FRVR0,275
40,不鏽鋼魔法掃把 180度旋轉不黏毛髮神奇掃帚 玻璃刮水器拖把刮刀,https://24h.pchome.com.tw/prod/DAACBG-A900AMABN,239
41,好桔事掃把畚斗組 顏色隨機,https://24h.pchome.com.tw/prod/DAACF8-B900EYXPY,299
42,亮絲可麗掃把2入 顏色隨機,https://24h.pchome.com.tw/prod/DAACFD-B900FVMIM,199
43,伸縮彈力掃把,https://24h.pchome.com.tw/prod/DAACF8-B900BR62F,199
44,毛髮刮除免沾手磁吸式折疊掃把組-不銹鋼款【掃把+畚斗】,https://24h.pchome.com.tw/prod/DAACBG-A900FOKLB,413
45,直式掃把,https://24h.pchome.com.tw/prod/DAACF8-B900F0K86,169
46,站立式可折疊掃把畚箕組 掃把 清潔刷,https://24h.pchome.com.tw/prod/DAACBG-A900H1R3J,426
47,摺疊站立方便收納磁吸式折疊掃把組【掃把+畚斗】,https://24h.pchome.com.tw/prod/DAACBG-A900GY748,429
48,打掃神器三件組不卡塵髮可站立掃把畚斗組+360免手洗可乾濕兩用懶人拖把+多用途日系三角縫隙清潔刷,https://24h.pchome.com.tw/prod/DAAC7V-A900H4V82,430
49,無塵金掃把畚斗組,https://24h.pchome.com.tw/prod/CCAB4F-B57220857,210
50,金絲掃把,https://24h.pchome.com.tw/prod/DAAC0C-A57850922,138
51,折疊不卡塵髮魔術掃把組買一送一,https://24h.pchome.com.tw/prod/DAAC7V-A900GL8K1,538
52,可伸縮乾濕兩用魔術掃把,https://24h.pchome.com.tw/prod/DAACE9-A900FSO03,129
53,輕巧掃把畚箕組,https://24h.pchome.com.tw/prod/DQCI1E-A900GZRBM,299
54,掃把畚箕組,https://24h.pchome.com.tw/prod/DQCI1E-A900GZRBE,399
55,掃把畚箕組 MIDDLE GY,https://24h.pchome.com.tw/prod/DQCI1E-A900GZRCF,179
56,掃把畚箕組 GY,https://24h.pchome.com.tw/prod/DQCI1E-A900GZRC5,279
57,馬棕毛掃把畚斗組 (附刷毛器),https://24h.pchome.com.tw/prod/DAAC8Z-A9006012M,359
58,刷頭型迷你掃把+簸箕 小掃把 桌面清潔,https://24h.pchome.com.tw/prod/DAACBG-A900ESNKR,399
59,乾濕兩用迷你小掃把組,https://24h.pchome.com.tw/prod/DAACBG-A900GQ6RL,179
60,超細鋁合金桿伸縮金絲掃/掃把/掃除用具/地板清潔(1支入),https://24h.pchome.com.tw/prod/DAACBG-A900HOJAP,255
61,【UdiLife】百研 / 大好掃折合掃把組-1組,https://24h.pchome.com.tw/prod/DAACED-A900H391S,398
62,可收縮直立式掃把組(掃把/掃具/畚箕/家用掃把/居家清潔/大掃除),https://24h.pchome.com.tw/prod/DAACBG-A900GAMMQ,399
63,潔多 耐用輕巧掃把,https://24h.pchome.com.tw/prod/QFAX15-A900AF8EU,299
64,摩登金絲軟刷特大掃把(2支),https://24h.pchome.com.tw/prod/QFAX15-A900A0DWI,317
65,【金獎】Co Co清潔取塵組(立體型) 掃把畚斗組 顏色隨機,https://24h.pchome.com.tw/prod/DAACF8-B900EYZ4K,399
66,站立式掃把組 打掃 掃把 掃具 畚箕(多款任選) 折疊組合 清潔 折疊掃把 刮毛畚箕 打掃,https://24h.pchome.com.tw/prod/DAACBG-A900H1C0H,444
67,【防風掃把畚箕組】掃地神器 梳齒設計 免沾手 掃帚 掃把 畚斗 簸箕 清潔 掃地板 大掃除 【AB026】,https://24h.pchome.com.tw/prod/DSBE04-A900CAXV4,299
68,業務用加大抗磨防風掃把畚斗組,https://24h.pchome.com.tw/prod/QFAX15-A900AA3Z9,705
69,魔術刮水掃把(乾濕兩用掃把/地板刮水器/地板刮刀),https://24h.pchome.com.tw/prod/DAACE9-A900G95UH,239
70,Satto乾濕彈力刮水掃把組合頭(不含桿),https://24h.pchome.com.tw/prod/DAACAU-A900HIXD6,186
71,兒童迷你小鴨掃把畚箕套組,https://24h.pchome.com.tw/prod/DAACBG-A900H05XC,399
72,迷你型桌面掃把畚箕組鍵盤刷 寶寶餐後地板桌面清潔掃-3組,https://24h.pchome.com.tw/prod/DAACBG-A900FOM4H,249
73,乾濕兩用矽膠旋轉伸縮掃把,https://24h.pchome.com.tw/prod/DAAC7V-A900GAF58,249
74,原價$799活動限時降韓國黑科技魔術 掃把 浴室 頭髮 地板刷 玻璃清潔器 伸縮 乾濕兩用 除塵 刮水 灰色,https://24h.pchome.com.tw/prod/DAACBG-A900GL9EN,199
75,除塵刮水掃把/刮水器(伸縮型),https://24h.pchome.com.tw/prod/DAACE9-A900G1C5W,199
76,小熊桌面清潔掃把套裝 桌上雜物灰塵清潔刷 鍵盤清潔迷你掃把,https://24h.pchome.com.tw/prod/DAACED-A900HOMUD,279
77,【嘟嘟屋】鋁合金刮水掃把52cm,https://24h.pchome.com.tw/prod/DAACF0-A900HWB2C,239
78,V型雙效刮水掃把(清潔刷/地板刷/縫隙刷/浴室刷/長柄刷/浴室刷子/浴室地板刷/廁所刷),https://24h.pchome.com.tw/prod/DAACB5-A900FLEWB,249
79,小掃把簸箕套裝迷你掃帚 3入(顏色隨機出貨),https://24h.pchome.com.tw/prod/DAACED-A900BTYJ3,203
80,日本桌上型迷你掃把&畚箕(顏色隨機) 超值2件組,https://24h.pchome.com.tw/prod/DAACBG-A900G2PRF,249
81,乾濕兩用迷你小掃把組,https://24h.pchome.com.tw/prod/DAACBG-A900GQCK7,258
82,兒童迷你小鴨掃把畚斗套組,https://24h.pchome.com.tw/prod/DAACBG-A900GZWJG,399
83,站立式可折疊掃把畚箕組,https://24h.pchome.com.tw/prod/DAACBG-A900H1R48,329
84,乾濕兩用迷你小掃把組,https://24h.pchome.com.tw/prod/DAACBG-A900GZF4Q,219
85,兒童迷你小鴨掃把畚箕套組,https://24h.pchome.com.tw/prod/DAACBG-A900GZVCM,399
86,百研 / 大好掃折合掃把組-1組,https://24h.pchome.com.tw/prod/DECBAR-A900H3915,398
87,站立式可折疊掃把畚斗組,https://24h.pchome.com.tw/prod/DAACBG-A900HQWO4,329
88,-奇麗掃把,https://24h.pchome.com.tw/prod/DAACBG-A900BNT5H,389
89,幸運草二節式伸縮不鏽鋼彈力掃把(1入),https://24h.pchome.com.tw/prod/DAACBG-A900HO64M,325
90,乾濕兩用黑科技伸縮掃把,https://24h.pchome.com.tw/prod/DAACBG-A900BDO5B,209
91,乾濕兩用迷你小掃把組,https://24h.pchome.com.tw/prod/DAACBG-A900GZF4N,179
92,迷你掃把套裝(簸箕+刮水器) 小掃把 桌面清潔,https://24h.pchome.com.tw/prod/DAACBG-A900FVK82,359
93,B6693集污 掃把+畚箕 清潔組(掃把組 打掃用具 顏色隨機)2入,https://24h.pchome.com.tw/prod/DAACED-A900DYTR0,399
94,日本輕巧易握拉門窗框滑軌道凹槽清潔小掃把組W-629W(含畚箕蓋;附掛洞)櫥櫃溝槽刷縫隙刷窗溝除塵刷子,https://24h.pchome.com.tw/prod/DEAZML-A900EYZGX,399
95,【荷生活】桌面刮水神器迷你掃把組 餐桌流理檯面清潔刮板-1入,https://24h.pchome.com.tw/prod/DAACBG-A900H15V6,288
96,拖把掃把收納架-超值組合(浴室掛架/廚房掛鉤/吸塵器收納),https://24h.pchome.com.tw/prod/DAAC5A-A900FR6ES,349
97,迷你型桌面掃把畚箕組鍵盤刷 寶寶餐後地板桌面清潔掃-2組,https://24h.pchome.com.tw/prod/DAACBG-A900FOM3E,199
98,可90度摺疊直立防風淨髮掃把畚斗組 LM-Q614(1入),https://24h.pchome.com.tw/prod/DAACBG-A900C1WTD,329
99,【南紡購物中心】 日本輕巧易握拉門窗框滑軌道凹槽清潔小掃把組W-629W,https://24h.pchome.com.tw/prod/DEDG2J-A900EZ0BP,399
100,魔術刮水掃把,https://24h.pchome.com.tw/prod/DAACED-A900H298U,199
101,多功能刮水掃把 魔術掃把 加大款52cm,https://24h.pchome.com.tw/prod/DAACE9-A900GT4EE,380
102,乾濕兩用魔術刮水掃把-2入組(刮水/掃把/刮水器/刮刀掃把/玻璃刮刀),https://24h.pchome.com.tw/prod/DAACE9-A900FSS7N,189
103,可伸縮乾濕兩用魔術掃把,https://24h.pchome.com.tw/prod/DAACE9-A900FSZRO,198
104,乾濕兩用魔術刮水掃把-4入組(刮水/掃把/刮水器/刮刀掃把/玻璃刮刀),https://24h.pchome.com.tw/prod/DAACE9-A900FSS74,259
105,乾濕兩用魔術伸縮掃把,https://24h.pchome.com.tw/prod/DAACBG-A900FXF01,199
106,伸縮版乾濕兩用魔術掃把,https://24h.pchome.com.tw/prod/DAACE9-A900G40K5,202
107,可換頭乾濕兩用刮水器魔術掃把-替換棉片1包(2入),https://24h.pchome.com.tw/prod/DAACEF-A900G5RQ1,179
108,【南紡購物中心】 《x舞水痕》伸縮彈力掃把-1入,https://24h.pchome.com.tw/prod/DEDG3L-A900C2B1I,399
109,【嘟嘟屋】鋁合金刮水掃把35cm,https://24h.pchome.com.tw/prod/DAACF0-A900HWB1K,229
110,魔術掃把 第2代 乾濕兩用 顏色隨機 魔術拖把,https://24h.pchome.com.tw/prod/DAACED-A900H6XHO,188
111,原價$799活動限時降 韓國黑科技魔術 掃把 乾濕兩用 刮水 灰色,https://24h.pchome.com.tw/prod/DECB23-A900H4ETN,189
112,家用韓國黑科技掃把地刮 創意硅膠魔法刮水灰色拖把 3入,https://24h.pchome.com.tw/prod/DAACE9-A900BX6VC,215
113,【Finger pop指選好物】大掃除用具組(魔術掃把+縫隙灰塵刷),https://24h.pchome.com.tw/prod/DAACBG-A900FQT68,389
114,【茉家】清潔小屋桌面刮水掃把簸箕組-1入,https://24h.pchome.com.tw/prod/DAACBG-A900H0ZUX,288
115,【FL 生活+】多功能180度無死角無塵刮水掃把(YG-163/乾濕兩用/刮水刀/魔術掃把/無塵掃/玻璃/地板),https://24h.pchome.com.tw/prod/DAACE9-A900FUL96,299
116,伸縮版乾濕兩用魔術掃把 刮刀器,https://24h.pchome.com.tw/prod/DAACE9-A900G2P84,259
117,掃地神器魔術伸縮刮水掃把,https://24h.pchome.com.tw/prod/DAACED-A900AY208,249
118,《x舞水痕》伸縮彈力掃把-1入,https://24h.pchome.com.tw/prod/DAACED-A900C1STX,350
119,可換頭乾濕兩用刮水器魔術掃把-刮水器頭1入,https://24h.pchome.com.tw/prod/DAACEF-A900G5RPV,219
120,乾濕兩用刮水魔術掃把,https://24h.pchome.com.tw/prod/DAACE9-A900HB04E,295
121,【南紡購物中心】 魔術掃把大掃除好幫手不再需要爬高高掃地刮水兩用高密度EVA超優品質可清洗超實用,https://24h.pchome.com.tw/prod/DEDG3M-A900BWUV9,298
122,原價$899活動限時降 乾濕兩用 魔術 刮水 掃把 加大面寬 厚度升級,https://24h.pchome.com.tw/prod/DAACE9-A900HHXEJ,389
123,買1送2折疊不卡塵髮魔術掃把組x1加贈 北歐風撞色洗鞋洗衣軟毛清潔刷x2,https://24h.pchome.com.tw/prod/DAAC7V-A900HHO1H,349
124,原價$899活動限時降  日式衛生間 浴室刮水板 掃把 魔術黑科技 家用 刮水器 灰塵 髒污 乾淨,https://24h.pchome.com.tw/prod/DAACBG-A900GLSA4,199
125,超輕量化矽膠高密合度平面掃把 浴室牆面地板刮水刀-1入,https://24h.pchome.com.tw/prod/DECB23-A900G8D0I,380
126,5掛6鉤拖把架 掃把架 掛勾,https://24h.pchome.com.tw/prod/DAAC5A-A900AXG67,399
127,【金獎】Co Co 清潔取塵組(摺合式) 掃把畚斗組 顏色隨機,https://24h.pchome.com.tw/prod/DAACF8-B900EYZ5J,369
128,免釘壁掛式極簡多用途掃把/拖把掛架夾-3入組 (掃把夾 拖把夾 拖把架 工具夾),https://24h.pchome.com.tw/prod/DAAC5A-A900FBR3R,399
129,免打孔拖把掃把架 4夾5勾 多功能加厚拖把架 矽膠防滑拖把架 掛衣勾 拖把置物架浴室/陽臺/廚房,https://24h.pchome.com.tw/prod/DAAC5A-A900HO923,369
130,日本輕巧易握拉門窗框滑軌道凹槽清潔小掃把組W-629W(含畚箕蓋;附掛洞)櫥櫃溝槽刷縫隙刷窗溝除塵刷子,https://24h.pchome.com.tw/prod/DECBAR-A900HWXLV,399
131,hold掛304拖把夾/掃把夾/置物架-1夾1勾(適用於衛浴室/陽臺/廚房),https://24h.pchome.com.tw/prod/DAAC5A-A900HMMPJ,205
132,SAN-E 不鏽鋼免釘拖把架 壁掛防滑掃把拖把夾 浴室工具夾掛架 掃把架/雨傘架/掛勾/掛鉤(3夾4勾),https://24h.pchome.com.tw/prod/DAAC5A-A900HPFSZ,329
133,買1送1高處好清潔乾濕兩用拖把x1加贈 折疊不卡塵髮魔術掃把組x1,https://24h.pchome.com.tw/prod/DAAC7V-A900HI6R3,369
134,買1送1X型免手洗加大平板拖把x1加贈 乾濕兩用矽膠旋轉伸縮掃把x1,https://24h.pchome.com.tw/prod/DAAZFZ-A900GBAXC,299
135,304不鏽鋼免釘拖把架 掃把架 掛勾 掛鉤 無痕掛勾 拖把掛勾,https://24h.pchome.com.tw/prod/DEBM3W-A900FIG71,399
136,拖把掃把收納架-雙頭拖把夾(H型/浴室掛架/廚房掛鉤/吸塵器收納/A-136),https://24h.pchome.com.tw/prod/DAAC5A-A900FR66X,269
137,【南紡購物中心】 [HOUSE MALL] 304不鏽鋼 可釘可貼 拖把夾-2夾3勾款 拖把掛勾 掛鉤 免打孔 無痕收納掛架 拖把架 掃把夾 拖把夾 浴室收納架 掛勾,https://24h.pchome.com.tw/prod/DEDG3M-A900FNAMZ,339
138,【南紡購物中心】 [HOUSE MALL] 304不鏽鋼 可釘可貼 拖把夾-3夾4勾款 拖把掛勾 掛鉤 免打孔 無痕收納掛架 拖把架 掃把夾 拖把夾 浴室收納架 掛勾,https://24h.pchome.com.tw/prod/DEDG3M-A900FNAMT,399
139,升級款 掃刮擦一體清潔更徹底,https://24h.pchome.com.tw/prod/DAACBG-A900C2OSG,195
140,【Finger pop指選好物】,https://24h.pchome.com.tw/prod/DAACBG-A900DX13S,199
141,掃把 掃把組 掃具 折疊掃把 清潔 掃地神器 大掃除 日式 折疊磁吸掃把組【W064】,https://24h.pchome.com.tw/prod/DAACBG-A900FSSMI,405
142,hold掛304不鏽鋼拖把夾/掃把夾/掛勾-2夾3勾(免釘免鑽孔),https://24h.pchome.com.tw/prod/DAAC5A-A900HMMQV,410
143,買1送1180不卡塵髮掃把3件組,https://24h.pchome.com.tw/prod/DAAC7V-A900HI6PY,419
144,清潔取塵掃把畚斗組,https://24h.pchome.com.tw/prod/DAACBG-A900C8V65,419
145,家用韓國黑科技掃把地刮 創意硅膠魔法刮水灰色拖把 2入,https://24h.pchome.com.tw/prod/DAACE9-A900BX6VA,170
146,魔術刮水掃把 魔術掃把 刮水掃把 乾濕兩用掃把  【W030】,https://24h.pchome.com.tw/prod/DAACE9-A900GOJCN,169
147,仿鬃掃把 顏色隨機,https://24h.pchome.com.tw/prod/DAACFD-B900H52IG,169
148,美式掃把,https://24h.pchome.com.tw/prod/DAACF8-B900BXKEO,169
149,二代防風無塵畚斗掃把組,https://24h.pchome.com.tw/prod/QFAX15-A9006O11Q,799
150,金絲掃把,https://24h.pchome.com.tw/prod/DAAC0C-A24239343,89
151,買1送1不卡塵髮可站立掃把畚斗組x1加贈 多用途可替換刷頭清潔刷x1,https://24h.pchome.com.tw/prod/DAAC7V-A900H4AHC,426
152,金絲掃把 -3入組,https://24h.pchome.com.tw/prod/DAACBG-A900FNAIK,430
153,小簡單居家畚斗組 (顏色隨機),https://24h.pchome.com.tw/prod/DAACFD-B900H3P2S,129
154,買就送一刮淨不卡塵髮魔術掃把組x1組加贈 360免手洗可乾濕兩用懶人拖把x1,https://24h.pchome.com.tw/prod/DAAC7V-A900H2DPW,439
155,乾濕兩用魔術伸縮掃把,https://24h.pchome.com.tw/prod/DAACBG-A900BN4CC,129
156,旋轉式細緻馬毛掃把(組合頭) 棕色,https://24h.pchome.com.tw/prod/DQAU07-A900GMTFR,128
157,打掃 掃把 掃具 畚箕IH-02310 折疊組閤 清潔 折疊掃把 颳毛畚箕 打掃掃把簸箕套裝傢用,https://24h.pchome.com.tw/prod/DAACBG-A900HGUD3,445
158,可換頭乾濕兩用刮水器魔術掃把-1支,https://24h.pchome.com.tw/prod/DAACEF-A900G5RPB,445
159,原價$1299活動限時降送4個替換頭三合一 刮水掃把 魔術拖把 除塵 萬用 伸縮旋轉,https://24h.pchome.com.tw/prod/DAACE9-A900HF8VB,449
160,可折疊不卡塵髮掃把組合超值2組,https://24h.pchome.com.tw/prod/DAAC7V-A900GQ7OL,449
161,兒童迷你小鴨掃把畚箕套組,https://24h.pchome.com.tw/prod/DAACBG-A900GZV42,449
162,掃地神器魔術伸縮刮水掃把,https://24h.pchome.com.tw/prod/DAACED-A900AY21O,449
163,原價$899活動限時降送4個替換頭三合一 刮水掃把 魔術拖把 除塵 萬用 伸縮旋轉,https://24h.pchome.com.tw/prod/DAACE9-A900HJ68E,449
164,B3425 大畚斗 畚箕+掃把 清潔組 (掃把組 打掃用具 顏色隨機)2入,https://24h.pchome.com.tw/prod/DAACBG-A900FK9YG,450
165,日本 工業風小掃把 - 粉紅色 【工業風 設計感 機能性兼具的日本設計品牌 】,https://24h.pchome.com.tw/prod/QFAX15-A9008V3R2,450
166,乾溼兩用無死角伸縮除塵掃把隨機色附15片除塵紙+SGS花香環保清潔袋隨機尺寸(3卷/包),https://24h.pchome.com.tw/prod/DAACD4-A900FU7EW,450
167,【荷生活】桌面刮水神器迷你掃把組 餐桌流理檯面清潔刮板-2入,https://24h.pchome.com.tw/prod/DAACBG-A900H15VG,458
168,【茉家】清潔小屋桌面刮水掃把簸箕組-2入,https://24h.pchome.com.tw/prod/DAACBG-A900H0ZVD,458
169,FaSoLa 二合一桌面清潔組,https://24h.pchome.com.tw/prod/DEDG3M-A900HTGYQ,217
170,靈活旋轉 輕鬆打掃各處,https://24h.pchome.com.tw/prod/DAACBG-A900GREC0,389
171,潔園日式戶外掃(1支),https://24h.pchome.com.tw/prod/DAACBG-A900HRJWC,239
172,潔園日式庭院掃(1支),https://24h.pchome.com.tw/prod/DAACBG-A900HRJV5,389
173,潔園南洋戶外掃-短柄(1支),https://24h.pchome.com.tw/prod/DAACBG-A900HRJUM,359
174,潔園南洋戶外掃-長柄(1支),https://24h.pchome.com.tw/prod/DAACBG-A900HRJUE,389
175,乾濕兩用魔術掃把-綠色,https://24h.pchome.com.tw/prod/DAACEF-A900BNNMK,119
176,B5375短柄掃把(畚斗)組(顏色隨機出貨 桌掃 清潔組 桌面清潔)2入,https://24h.pchome.com.tw/prod/DAACED-A900DYTBP,150
177,維多利亞時尚輕盈掃把畚斗組(2入) #1026013,https://24h.pchome.com.tw/prod/QFAX15-A90092MLM,478
178,迷你型桌面掃把畚箕組鍵盤刷 寶寶餐後地板桌面清潔掃-1組,https://24h.pchome.com.tw/prod/DAACBG-A900FOKIO,149
179,毛髮刮除免沾手磁吸式折疊掃把組-鋁合金款【掃把+畚斗】,https://24h.pchome.com.tw/prod/DAACBG-A900F3NX2,489
180,日本刮水掃把畚斗組合套裝,https://24h.pchome.com.tw/prod/DAACDW-A900DW5R7,495
